id,es,en
Acerca de,Acerca de,About
Archivo,Archivo,File
Nuevo,Nuevo,New
Abrir,Abrir,Open
Guardar,Guardar,Save
Salir,Salir,Exit
Editar,Editar,Edit
Deshacer,Deshacer,Undo
Rehacer,Rehacer,Redo
Cortar,Cortar,Cut
Copiar,Copiar,Copy
Pegar,Pegar,Paste
Ver,Ver,View
Pantalla completa,Pantalla completa,Full screen
Tema,Tema,Theme
Ayuda,Ayuda,Help
Documentación,Documentación,Documentation
Cargado,Cargado,Loaded
Guardado,Guardado,Saved
Seleccionar archivo PLC,Seleccionar archivo PLC,Select PLC file
Guardar archivo PLC,Guardar archivo PLC,Save PLC file
Editor de Matrices,Editor de Matrices,Matrix Editor
Atrás,Atrás,Back
Limpiar todo,Limpiar todo,Clear All
Agregar columna,Agregar columna,Add Column
Nueva Columna,Nueva Columna,New Column
Agregar fila,Agregar fila,"Add ",
Guardar como,Guardar como,Save as,
Variable,Variable,Variable
Agregar variable,Agregar variable,Add Variable
Ir al menú principal,Ir al menú principal,Go to main menu